metric,method_a,method_b,mean_a,mean_b,delta,wilcoxon_p,A12,significant_p05
heldout_uniform_mean,most_played_baseline,RANDOM_SEARCH,0.49391662136877396,0.5184958448247786,-0.024579223456004662,1.0,0.0,False
heldout_uniform_mean,most_played_baseline,GREEDY_HILLCLIMB,0.49391662136877396,0.5268979961235688,-0.032981374754794845,1.0,0.0,False
heldout_uniform_mean,most_played_baseline,STATIC,0.49391662136877396,0.5240307344368921,-0.03011411306811812,1.0,0.0,False
heldout_uniform_mean,most_played_baseline,COEVOLVE,0.49391662136877396,0.52622150098174,-0.032304879612966075,1.0,0.0,False
heldout_uniform_mean,RANDOM_SEARCH,GREEDY_HILLCLIMB,0.5184958448247786,0.5268979961235688,-0.008402151298790184,1.0,0.0,False
heldout_uniform_mean,RANDOM_SEARCH,STATIC,0.5184958448247786,0.5240307344368921,-0.005534889612113458,1.0,0.0,False
heldout_uniform_mean,RANDOM_SEARCH,COEVOLVE,0.5184958448247786,0.52622150098174,-0.0077256561569614135,1.0,0.0,False
heldout_uniform_mean,GREEDY_HILLCLIMB,STATIC,0.5268979961235688,0.5240307344368921,0.0028672616866767253,1.0,1.0,False
heldout_uniform_mean,GREEDY_HILLCLIMB,COEVOLVE,0.5268979961235688,0.52622150098174,0.0006764951418287701,1.0,1.0,False
heldout_uniform_mean,STATIC,COEVOLVE,0.5240307344368921,0.52622150098174,-0.002190766544847955,0.5,0.0,False
heldout_worst_band,most_played_baseline,RANDOM_SEARCH,0.48954125445206664,0.5116557824461146,-0.022114527994048006,1.0,0.0,False
heldout_worst_band,most_played_baseline,GREEDY_HILLCLIMB,0.48954125445206664,0.5188876532238815,-0.029346398771814886,1.0,0.0,False
heldout_worst_band,most_played_baseline,STATIC,0.48954125445206664,0.52018282011828,-0.030641565666213344,1.0,0.0,False
heldout_worst_band,most_played_baseline,COEVOLVE,0.48954125445206664,0.5213818482601803,-0.03184059380811366,1.0,0.0,False
heldout_worst_band,RANDOM_SEARCH,GREEDY_HILLCLIMB,0.5116557824461146,0.5188876532238815,-0.00723187077776688,1.0,0.0,False
heldout_worst_band,RANDOM_SEARCH,STATIC,0.5116557824461146,0.52018282011828,-0.008527037672165338,1.0,0.0,False
heldout_worst_band,RANDOM_SEARCH,COEVOLVE,0.5116557824461146,0.5213818482601803,-0.009726065814065654,1.0,0.0,False
heldout_worst_band,GREEDY_HILLCLIMB,STATIC,0.5188876532238815,0.52018282011828,-0.0012951668943984584,1.0,0.25,False
heldout_worst_band,GREEDY_HILLCLIMB,COEVOLVE,0.5188876532238815,0.5213818482601803,-0.002494195036298774,1.0,0.0,False
heldout_worst_band,STATIC,COEVOLVE,0.52018282011828,0.5213818482601803,-0.0011990281419003157,1.0,0.0,False
