metric,method,lambda_weight,mean,std
heldout_uniform_mean,STATIC,0.0,0.5401745027114607,0.0
heldout_uniform_mean,STATIC,1.0,0.5401745027114607,0.0
heldout_uniform_mean,STATIC,2.0,0.5401745027114607,0.0
heldout_uniform_mean,COEVOLVE,0.0,0.5353418649200978,0.010806106612122023
heldout_uniform_mean,COEVOLVE,1.0,0.5401745027114607,0.0
heldout_uniform_mean,COEVOLVE,2.0,0.5353172059825748,0.010861245672676104
heldout_worst_band,STATIC,0.0,0.5294946391805082,0.0
heldout_worst_band,STATIC,1.0,0.5294946391805082,0.0
heldout_worst_band,STATIC,2.0,0.5294946391805082,0.0
heldout_worst_band,COEVOLVE,0.0,0.5254661985294267,0.009007867139141942
heldout_worst_band,COEVOLVE,1.0,0.5294946391805082,0.0
heldout_worst_band,COEVOLVE,2.0,0.5254799660234716,0.008977082086577543
