metric,method,lambda_weight,mean,std
heldout_uniform_mean,STATIC,0.0,0.5280414797421142,0.013314082869613064
heldout_uniform_mean,STATIC,1.0,0.5330546353041062,0.013348196746083
heldout_uniform_mean,STATIC,2.0,0.5229776331915406,0.01150401027221715
heldout_uniform_mean,COEVOLVE,0.0,0.5240370720274968,0.010615162837397378
heldout_uniform_mean,COEVOLVE,1.0,0.5280190963999681,0.013107881270517917
heldout_uniform_mean,COEVOLVE,2.0,0.5224891850582463,0.01172202953847977
heldout_worst_band,STATIC,0.0,0.5200931463650555,0.009494441100060563
heldout_worst_band,STATIC,1.0,0.5242916622576812,0.009823135008423366
heldout_worst_band,STATIC,2.0,0.5172562872187811,0.00809772050754105
heldout_worst_band,COEVOLVE,0.0,0.517266185525588,0.008065555561288002
heldout_worst_band,COEVOLVE,1.0,0.5204946616769746,0.009306377416751986
heldout_worst_band,COEVOLVE,2.0,0.5167900397559307,0.008872062102147105
