method,metric,n,mean,std,median,wilcoxon_p_vs_STATIC,A12_vs_STATIC
STATIC,per_game_mean,30,0.5139403925646174,0.0014699602758668272,0.5137880565738926,,
STATIC,per_game_worst_decile,30,0.47914441092428156,5.551115123125783e-17,0.4791444109242816,,
STATIC,per_game_worst_band_mean,30,0.5118606445879467,0.001571114221937778,0.511375745395564,,
STATIC,per_game_std,30,0.03289730240977199,0.004195861523194546,0.03168819095277804,,
STATIC,sim_mean,5,0.5120213655126897,0.004017360550239735,0.5104384772942041,,
STATIC,sim_std,5,0.09868873593292919,0.02274727142423198,0.10008347663263252,,
STATIC,sim_worst_decile,5,0.5208555890757184,0.0,0.5208555890757184,,
STATIC,sim_truncated_frac,5,0.96,0.017888543819998333,0.96,,
STATIC_DIV,per_game_mean,15,0.5127089389724478,0.0016539842041942547,0.5124924154555374,0.99664306640625,0.2822222222222222
STATIC_DIV,per_game_worst_decile,15,0.4791444109242818,1.6653345369377348e-16,0.4791444109242816,,0.5
STATIC_DIV,per_game_worst_band_mean,15,0.5106388859467779,0.0017037800072038306,0.5107202919290387,0.995819091796875,0.30666666666666664
STATIC_DIV,per_game_std,15,0.031081630877862365,0.0021224899016452567,0.030621566617013537,0.873809814453125,0.37555555555555553
STATIC_DIV,sim_mean,5,0.5256042537311754,0.020362113183593086,0.5287700301681466,0.21875,0.8
STATIC_DIV,sim_std,5,0.1052035052839237,0.05719167136478078,0.1236963488526146,0.3125,0.6
STATIC_DIV,sim_worst_decile,5,0.5208555890757184,0.0,0.5208555890757184,1.0,0.5
STATIC_DIV,sim_truncated_frac,5,0.9399999999999998,0.03794733192202054,0.94,0.84375,0.34
COEVOLVE_FROZEN,per_game_mean,15,0.5136348425776128,0.001267552077388752,0.5135123215511119,0.789398193359375,0.44
COEVOLVE_FROZEN,per_game_worst_decile,15,0.4791444109242818,1.6653345369377348e-16,0.4791444109242816,,0.5
COEVOLVE_FROZEN,per_game_worst_band_mean,15,0.5113148176241595,0.0015533730314283328,0.511598239849468,0.98492431640625,0.4488888888888889
COEVOLVE_FROZEN,per_game_std,15,0.03299372390941472,0.0032211773894952997,0.03377001891032111,0.4234619140625,0.5111111111111111
COEVOLVE,per_game_mean,30,0.512943535587103,0.0014573116688762365,0.5131253819520128,0.9927309919148684,0.3377777777777778
COEVOLVE,per_game_worst_decile,30,0.47914441092428156,5.551115123125783e-17,0.4791444109242816,,0.5
COEVOLVE,per_game_worst_band_mean,30,0.5106900287653685,0.0016659984411990002,0.5109221238864574,0.9943484691902995,0.31
COEVOLVE,per_game_std,30,0.030874925093793592,0.0031656668962010055,0.031185382814142557,0.9922699984163046,0.37222222222222223
COEVOLVE,sim_mean,5,0.5181047878689926,0.013348002078963589,0.5200213655126897,0.375,0.62
COEVOLVE,sim_std,5,0.0839605950201386,0.04317363981451226,0.10008347663263252,0.875,0.48
COEVOLVE,sim_worst_decile,5,0.5208555890757184,0.0,0.5208555890757184,1.0,0.5
COEVOLVE,sim_truncated_frac,5,0.9640000000000001,0.01959591794226544,0.96,0.5,0.54
COEVOLVE_B,per_game_mean,15,0.5137394777456262,0.0016283235683905765,0.5130886277155128,0.5765380859375,0.4177777777777778
COEVOLVE_B,per_game_worst_decile,15,0.4791444109242818,1.6653345369377348e-16,0.4791444109242816,,0.5
COEVOLVE_B,per_game_worst_band_mean,15,0.5113168458101197,0.0018543790518983844,0.5116785896386591,0.93231201171875,0.44
COEVOLVE_B,per_game_std,15,0.032736393346017495,0.003286229241387625,0.032695065818806886,0.4451904296875,0.4688888888888889
COEVOLVE_C,per_game_mean,15,0.5135307817364203,0.0018490840267137865,0.5132432365475584,0.789398193359375,0.43777777777777777
COEVOLVE_C,per_game_worst_decile,15,0.4791444109242818,1.6653345369377348e-16,0.4791444109242816,,0.5
COEVOLVE_C,per_game_worst_band_mean,15,0.5113576188464541,0.0017016588874075751,0.5113133151396733,0.91558837890625,0.42444444444444446
COEVOLVE_C,per_game_std,15,0.03186182682049788,0.002899581314043051,0.031647126994606326,0.70025634765625,0.41555555555555557
COEVOLVE_D,per_game_mean,15,0.5144273636401493,0.0015113490505868161,0.5138813341404843,0.09381103515625,0.5733333333333334
COEVOLVE_D,per_game_worst_decile,15,0.4791444109242818,1.6653345369377348e-16,0.4791444109242816,,0.5
COEVOLVE_D,per_game_worst_band_mean,15,0.5119613162500349,0.0013966254377322893,0.5121428495468736,0.619232177734375,0.5444444444444444
COEVOLVE_D,per_game_std,15,0.03395022458727701,0.0024829638248729633,0.03542820268218359,0.138427734375,0.5644444444444444
COEVOLVE_D,sim_mean,5,0.5297710984437811,0.015387477193496774,0.539187141949661,0.0625,0.8
COEVOLVE_D,sim_std,5,0.10955014366877773,0.016970891842786225,0.10206643383298096,0.40625,0.6
COEVOLVE_D,sim_worst_decile,5,0.5208555890757184,0.0,0.5208555890757184,1.0,0.5
COEVOLVE_D,sim_truncated_frac,5,0.9480000000000001,0.015999999999999976,0.96,0.8125,0.34
