metric,method,lambda_weight,mean,std
heldout_uniform_mean,STATIC,0.0,0.5135219319947686,0.0017588227906002315
heldout_uniform_mean,STATIC,1.0,0.5141876785004005,0.0007125248214158383
heldout_uniform_mean,STATIC,2.0,0.5132837969991244,0.0008308435249848604
heldout_uniform_mean,COEVOLVE,0.0,0.5135464902015022,0.0011856962053000961
heldout_uniform_mean,COEVOLVE,1.0,0.5122370276995516,0.00143132312581166
heldout_uniform_mean,COEVOLVE,2.0,0.512675483699361,0.002681889502594006
heldout_worst_band,STATIC,0.0,0.5110373360355758,0.0025108302245039084
heldout_worst_band,STATIC,1.0,0.5119452531508129,0.0007139255263312172
heldout_worst_band,STATIC,2.0,0.5114811834014308,0.0007389021764059398
heldout_worst_band,COEVOLVE,0.0,0.5110398326323028,0.0011209970028827115
heldout_worst_band,COEVOLVE,1.0,0.5106528695816066,0.0020482882194105545
heldout_worst_band,COEVOLVE,2.0,0.5111314060756768,0.003121774914427733
heldout_adversarial_q10,STATIC,0.0,0.5122117500873653,0.002127837704776365
heldout_adversarial_q10,STATIC,1.0,0.5130154155401152,0.0006307125033831732
heldout_adversarial_q10,STATIC,2.0,0.5123271283077847,0.0007734043783389005
heldout_adversarial_q10,COEVOLVE,0.0,0.5122275797634155,0.0011210483733341279
heldout_adversarial_q10,COEVOLVE,1.0,0.5113951128373839,0.0016963748659680603
heldout_adversarial_q10,COEVOLVE,2.0,0.5118587590986297,0.0029095853468119096
heldout_uniform_fitness,STATIC,0.0,0.5135219319947686,0.0017588227906002315
heldout_uniform_fitness,STATIC,1.0,1.0261329316512133,0.0013204569589905441
heldout_uniform_fitness,STATIC,2.0,1.536246163801986,0.0022815309635940448
heldout_uniform_fitness,COEVOLVE,0.0,0.5135464902015022,0.0011856962053000961
heldout_uniform_fitness,COEVOLVE,1.0,1.0228898972811582,0.003361470530530186
heldout_uniform_fitness,COEVOLVE,2.0,1.5349382958507145,0.008900753152695232
